x,y,z,r,g,b
-1.58346,-0.817509,-0.047805,1.0,0.06374,0.0
-1.58276,-0.817518,-0.045495,1.0,0.06066,0.0
-1.58392,-0.813342,-0.05743,1.0,0.0765733,0.0
-1.58396,-0.813544,-0.04379,1.0,0.0583867,0.0
-1.58702,-0.805453,-0.039415,1.0,0.0525533,0.0
-1.58596,-0.807459,-0.040755,1.0,0.05434,0.0
-1.57448,-0.81409,-0.0526,1.0,0.0701333,0.0
-1.58539,-0.80668,-0.044095,1.0,0.0587933,0.0
-1.5886,-0.815278,-0.049985,1.0,0.0666467,0.0
-1.5861,-0.815677,-0.038565,1.0,0.05142,0.0
-1.59078,-0.812559,-0.04638,1.0,0.06184,0.0
-1.5812,-0.81495,-0.048785,1.0,0.0650467,0.0
-1.57847,-0.811549,-0.043695,1.0,0.05826,0.0
-1.57422,-0.81222,-0.050255,1.0,0.0670067,0.0
-1.58126,-0.818079,-0.04746,1.0,0.06328,0.0
-1.57401,-0.812878,-0.057625,1.0,0.0768333,0.0
-1.58504,-0.819535,-0.037705,1.0,0.0502733,0.0
-1.58184,-0.818196,-0.046515,1.0,0.06202,0.0
-1.58525,-0.807573,-0.038995,1.0,0.0519933,0.0
-1.58681,-0.815172,-0.04667,1.0,0.0622267,0.0
-1.57804,-0.815367,-0.045615,1.0,0.06082,0.0
-1.57553,-0.816064,-0.0523,1.0,0.0697333,0.0
-1.57757,-0.813554,-0.04466,1.0,0.0595467,0.0
-1.58544,-0.805565,-0.05065,1.0,0.0675333,0.0
-1.58675,-0.807424,-0.04313,1.0,0.0575067,0.0
-1.57994,-0.812411,-0.038645,1.0,0.0515267,0.0
-1.57883,-0.816293,-0.052235,1.0,0.0696467,0.0
-1.58133,-0.814449,-0.04371,1.0,0.05828,0.0
-1.57536,-0.820259,-0.0496,1.0,0.0661333,0.0
-1.57602,-0.821244,-0.048875,1.0,0.0651667,0.0
-1.57852,-0.817786,-0.048305,1.0,0.0644067,0.0
-1.58561,-0.806948,-0.04688,1.0,0.0625067,0.0
-1.58088,-0.816103,-0.045565,1.0,0.0607533,0.0
-1.58674,-0.804746,-0.038605,1.0,0.0514733,0.0
-1.5874,-0.807555,-0.044885,1.0,0.0598467,0.0
-1.58112,-0.817831,-0.04576,1.0,0.0610133,0.0
-1.58281,-0.816667,-0.04849,1.0,0.0646533,0.0
-1.57697,-0.812716,-0.044495,1.0,0.0593267,0.0
-1.58615,-0.805826,-0.038315,1.0,0.0510867,0.0
-1.57453,-0.819313,-0.05433,1.0,0.07244,0.0
-1.58566,-0.816658,-0.040455,1.0,0.05394,0.0
-1.57411,-0.814291,-0.051475,1.0,0.0686333,0.0
-1.58159,-0.816314,-0.047765,1.0,0.0636867,0.0
-1.57077,-0.814356,-0.05099,1.0,0.0679867,0.0
-1.57435,-0.81394,-0.049705,1.0,0.0662733,0.0
-1.58634,-0.807445,-0.04217,1.0,0.0562267,0.0
-1.56964,-0.81487,-0.047465,1.0,0.0632867,0.0
-1.5746,-0.814262,-0.048315,1.0,0.06442,0.0
-1.57281,-0.815671,-0.036935,1.0,0.0492467,0.0
-1.56949,-0.815206,-0.049695,1.0,0.06626,0.0
-1.5701,-0.815046,-0.04783,1.0,0.0637733,0.0
-1.57952,-0.815358,-0.04114,1.0,0.0548533,0.0
-1.57418,-0.812205,-0.04212,1.0,0.05616,0.0
-1.57064,-0.814074,-0.05244,1.0,0.06992,0.0
-1.58599,-0.807882,-0.044285,1.0,0.0590467,0.0
-1.57618,-0.814349,-0.046285,1.0,0.0617133,0.0
-1.56943,-0.815826,-0.04901,1.0,0.0653467,0.0
-1.58609,-0.81107,-0.047955,1.0,0.06394,0.0
-1.57001,-0.815254,-0.04793,1.0,0.0639067,0.0
-1.58661,-0.805798,-0.049705,1.0,0.0662733,0.0
-1.5756,-0.814491,-0.052555,1.0,0.0700733,0.0
-1.58858,-0.81131,-0.05188,1.0,0.0691733,0.0
-1.57567,-0.815304,-0.05085,1.0,0.0678,0.0
-1.57498,-0.815996,-0.052955,1.0,0.0706067,0.0
-1.57139,-0.81457,-0.048525,1.0,0.0647,0.0
-1.57953,-0.817723,-0.048275,1.0,0.0643667,0.0
-1.58057,-0.818424,-0.046995,1.0,0.06266,0.0
-1.56844,-0.815585,-0.05009,1.0,0.0667867,0.0
-1.57992,-0.814456,-0.04667,1.0,0.0622267,0.0
-1.57097,-0.814354,-0.050965,1.0,0.0679533,0.0
-1.58151,-0.812393,-0.041935,1.0,0.0559133,0.0
-1.56999,-0.817768,-0.04238,1.0,0.0565067,0.0
-1.58634,-0.805334,-0.042225,1.0,0.0563,0.0
-1.57345,-0.815411,-0.05292,1.0,0.07056,0.0
-1.57962,-0.815107,-0.04918,1.0,0.0655733,0.0
-1.58502,-0.807823,-0.04643,1.0,0.0619067,0.0
-1.57739,-0.819188,-0.0437,1.0,0.0582667,0.0
-1.58398,-0.81711,-0.04661,1.0,0.0621467,0.0
-1.57458,-0.814946,-0.05105,1.0,0.0680667,0.0
-1.56812,-0.818546,-0.04963,1.0,0.0661733,0.0
-1.5868,-0.806519,-0.047775,1.0,0.0637,0.0
-1.57539,-0.820749,-0.05018,1.0,0.0669067,0.0
-1.57165,-0.814214,-0.051365,1.0,0.0684867,0.0
-1.57203,-0.812734,-0.053005,1.0,0.0706733,0.0
-1.58443,-0.816245,-0.04429,1.0,0.0590533,0.0
-1.57078,-0.81457,-0.049165,1.0,0.0655533,0.0
-1.5873,-0.802003,-0.043175,1.0,0.0575667,0.0
-1.58585,-0.816827,-0.04252,1.0,0.0566933,0.0
-1.58988,-0.804533,-0.04546,1.0,0.0606133,0.0
-1.57511,-0.813279,-0.044645,1.0,0.0595267,0.0
-1.58792,-0.801319,-0.046635,1.0,0.06218,0.0
-1.56877,-0.816593,-0.0496,1.0,0.0661333,0.0
-1.56994,-0.817306,-0.048215,1.0,0.0642867,0.0
-1.57255,-0.812407,-0.04939,1.0,0.0658533,0.0
-1.57148,-0.815008,-0.049845,1.0,0.06646,0.0
-1.58108,-0.817501,-0.047385,1.0,0.06318,0.0
-1.58595,-0.808799,-0.05162,1.0,0.0688267,0.0
-1.58791,-0.801865,-0.04883,1.0,0.0651067,0.0
-1.57478,-0.823361,-0.05275,1.0,0.0703333,0.0
-1.58844,-0.80119,-0.044615,1.0,0.0594867,0.0
-1.57753,-0.815171,-0.04942,1.0,0.0658933,0.0
-1.57074,-0.814478,-0.049605,1.0,0.06614,0.0
-1.58905,-0.804767,-0.03773,1.0,0.0503067,0.0
-1.57362,-0.814408,-0.06021,1.0,0.08028,0.0
-1.56965,-0.8153,-0.04759,1.0,0.0634533,0.0
-1.5762,-0.82062,-0.04548,1.0,0.06064,0.0
-1.5684,-0.817224,-0.04608,1.0,0.06144,0.0
-1.57743,-0.823613,-0.04677,1.0,0.06236,0.0
-1.57524,-0.820335,-0.05008,1.0,0.0667733,0.0
-1.5848,-0.816347,-0.0482,1.0,0.0642667,0.0
-1.58693,-0.814671,-0.04636,1.0,0.0618133,0.0
-1.58409,-0.816439,-0.047055,1.0,0.06274,0.0
-1.57302,-0.816187,-0.047085,1.0,0.06278,0.0
-1.57178,-0.815173,-0.049945,1.0,0.0665933,0.0
-1.57699,-0.81212,-0.04733,1.0,0.0631067,0.0
-1.58298,-0.81547,-0.0464,1.0,0.0618667,0.0
-1.56884,-0.813664,-0.05774,1.0,0.0769867,0.0
-1.57471,-0.812671,-0.046175,1.0,0.0615667,0.0
-1.57757,-0.815611,-0.048315,1.0,0.06442,0.0
-1.57516,-0.821628,-0.04981,1.0,0.0664133,0.0
-1.57495,-0.813175,-0.048995,1.0,0.0653267,0.0
-1.5751,-0.81361,-0.04949,1.0,0.0659867,0.0
-1.5771,-0.817562,-0.045535,1.0,0.0607133,0.0
-1.57255,-0.812175,-0.05529,1.0,0.07372,0.0
-1.5738,-0.814131,-0.05277,1.0,0.07036,0.0
1.42303,-0.525197,-0.102515,1.0,0.136687,0.0
-1.57503,-0.817454,-0.045995,1.0,0.0613267,0.0
