D3,density_prior1,density_prior2,density_prior3,density_prior4,posterior
1.6410821643286573,3.8922839727438314e-284,3.8922839727438314e-284,3.8922839727438314e-284,3.8922839727438314e-284,3.8922839727438314e-284
1.6442885771543085,9.902032663605731e-286,9.902032663605731e-286,9.902032663605731e-286,9.902032663605731e-286,9.902032663605731e-286
1.6474949899799598,2.493381291497331e-287,2.493381291497331e-287,2.493381291497331e-287,2.493381291497331e-287,2.493381291497331e-287
1.6507014028056113,6.214376244732336e-289,6.214376244732336e-289,6.214376244732336e-289,6.214376244732336e-289,6.214376244732336e-289
1.6539078156312625,1.5330308562641934e-290,1.5330308562641934e-290,1.5330308562641934e-290,1.5330308562641934e-290,1.5330308562641934e-290
1.6571142284569138,3.7432493173445446e-292,3.7432493173445446e-292,3.7432493173445446e-292,3.7432493173445446e-292,3.7432493173445446e-292
1.660320641282565,9.046719338111092e-294,9.046719338111092e-294,9.046719338111092e-294,9.046719338111092e-294,9.046719338111092e-294
1.6635270541082163,2.164103291228497e-295,2.164103291228497e-295,2.164103291228497e-295,2.164103291228497e-295,2.164103291228497e-295
1.6667334669338678,5.124002809353483e-297,5.124002809353483e-297,5.124002809353483e-297,5.124002809353483e-297,5.124002809353483e-297
1.669939879759519,1.2008402552310884e-298,1.2008402552310884e-298,1.2008402552310884e-298,1.2008402552310884e-298,1.2008402552310884e-298
1.6731462925851703,2.7855157754666856e-300,2.7855157754666856e-300,2.7855157754666856e-300,2.7855157754666856e-300,2.7855157754666856e-300
1.6763527054108216,6.395441222808862e-302,6.395441222808862e-302,6.395441222808862e-302,6.395441222808862e-302,6.395441222808862e-302
1.6795591182364729,1.4533824335140232e-303,1.4533824335140232e-303,1.4533824335140232e-303,1.4533824335140232e-303,1.4533824335140232e-303
1.6827655310621243,3.269142162849751e-305,3.269142162849751e-305,3.269142162849751e-305,3.269142162849751e-305,3.269142162849751e-305
1.6859719438877756,7.278337870090417e-307,7.278337870090417e-307,7.278337870090417e-307,7.278337870090417e-307,7.278337870090417e-307
1.6891783567134269,1.6038920064291036e-308,1.6038920064291036e-308,1.6038920064291036e-308,1.6038920064291036e-308,1.6038920064291036e-308
1.6923847695390781,3.4983442135967e-310,3.4983442135967e-310,3.4983442135967e-310,3.4983442135967e-310,3.4983442135967e-310
1.6955911823647294,7.55256480045e-312,7.55256480045e-312,7.55256480045e-312,7.55256480045e-312,7.55256480045e-312
1.6987975951903809,1.61387868906e-313,1.61387868906e-313,1.61387868906e-313,1.61387868906e-313,1.61387868906e-313
1.7020040080160321,3.4134364e-315,3.4134364e-315,3.4134364e-315,3.4134364e-315,3.4134364e-315
1.7052104208416834,7.1459096e-317,7.1459096e-317,7.1459096e-317,7.1459096e-317,7.1459096e-317
1.7084168336673347,1.48064e-318,1.48064e-318,1.48064e-318,1.48064e-318,1.48064e-318
1.711623246492986,3.0434e-320,3.0434e-320,3.0434e-320,3.0434e-320,3.0434e-320
1.7148296593186372,6.23e-322,6.23e-322,6.23e-322,6.23e-322,6.23e-322
1.7180360721442887,0.0,0.0,0.0,0.0,0.0
1.72124248496994,0.0,0.0,0.0,0.0,0.0
